Value,Select type,Custom
Brushed Aluminum,Image url,https://s3.us-east-2.amazonaws.com/static.spaice.ca/share/cuppowood/Colors/Brushed+Aluminum.jpg
River Rock,Image url,https://s3.us-east-2.amazonaws.com/static.spaice.ca/share/cuppowood/Colors/River+Rock.jpg
Sheer Beauty,Image url,https://s3.us-east-2.amazonaws.com/static.spaice.ca/share/cuppowood/Colors/Sheer+Beauty.jpg
Fashionista,Image url,https://s3.us-east-2.amazonaws.com/static.spaice.ca/share/cuppowood/Colors/Fashionista.jpg
The Chameleon,Image url,https://s3.us-east-2.amazonaws.com/static.spaice.ca/share/cuppowood/Colors/The+Chameleon.jpg
Weekend Getaway,Image url,https://s3.us-east-2.amazonaws.com/static.spaice.ca/share/cuppowood/Colors/Weekend+Getaway.jpg
Winter Fun,Image url,https://s3.us-east-2.amazonaws.com/static.spaice.ca/share/cuppowood/Colors/Winter+Fun.jpg
Casting at First Light,Image url,https://s3.us-east-2.amazonaws.com/static.spaice.ca/share/cuppowood/Colors/Casting+at+First+Light.jpg
Sugar on Ice,Image url,https://s3.us-east-2.amazonaws.com/static.spaice.ca/share/cuppowood/Colors/Sugar+on+Ice.jpg
Sand Gladstone Oak,Image url,https://s3.us-east-2.amazonaws.com/static.spaice.ca/share/cuppowood/Colors/Sand+Gladstone+Oak.jpg
Grey-Beige Gladstone Oak,Image url,https://s3.us-east-2.amazonaws.com/static.spaice.ca/share/cuppowood/Colors/Grey-Beige+Gladstone+Oak.jpg
Brown Tossini Elm,Image url,https://s3.us-east-2.amazonaws.com/static.spaice.ca/share/cuppowood/Colors/Brown+Tossini+Elm.jpg
Tobacco Gladstone Oak,Image url,https://s3.us-east-2.amazonaws.com/static.spaice.ca/share/cuppowood/Colors/Tobacco+Gladstone+Oak.jpg
Tobacco Halifax Oak,Image url,https://s3.us-east-2.amazonaws.com/static.spaice.ca/share/cuppowood/Colors/Tobacco+Halifax+Oak.jpg
Black Halifax Oak,Image url,https://s3.us-east-2.amazonaws.com/static.spaice.ca/share/cuppowood/Colors/Black+Halifax+Oak.jpg
Natural Halifax Oak,Image url,https://s3.us-east-2.amazonaws.com/static.spaice.ca/share/cuppowood/Colors/Natural+Halifax+Oak.jpg
White Halifax Oak,Image url,https://s3.us-east-2.amazonaws.com/static.spaice.ca/share/cuppowood/Colors/White+Halifax+Oak.jpg
Pearl White HG,Image url,https://s3.us-east-2.amazonaws.com/static.spaice.ca/share/cuppowood/Colors/Pearl+White+HG.jpg
Winter Frost SM,Image url,https://s3.us-east-2.amazonaws.com/static.spaice.ca/share/cuppowood/Colors/Winter+Frost+SM.jpg
Sun Grey HG,Image url,https://s3.us-east-2.amazonaws.com/static.spaice.ca/share/cuppowood/Colors/Sun+Grey+HG.jpg
Sun Grey SM,Image url,https://s3.us-east-2.amazonaws.com/static.spaice.ca/share/cuppowood/Colors/Sun+Grey+SM.jpg
Stone Grey HG,Image url,https://s3.us-east-2.amazonaws.com/static.spaice.ca/share/cuppowood/Colors/Stone+Grey+HG.jpg
Stone Grey SM,Image url,https://s3.us-east-2.amazonaws.com/static.spaice.ca/share/cuppowood/Colors/Stone+Grey+SM.jpg
Eclipse  HG,Image url,https://s3.us-east-2.amazonaws.com/static.spaice.ca/share/cuppowood/Colors/Eclipse++HG.jpg
Eclipse  SM,Image url,https://s3.us-east-2.amazonaws.com/static.spaice.ca/share/cuppowood/Colors/Eclipse++SM.jpg
Royal Blue HG,Image url,https://s3.us-east-2.amazonaws.com/static.spaice.ca/share/cuppowood/Colors/Royal+Blue+HG.jpg
Royal Blue SM,Image url,https://s3.us-east-2.amazonaws.com/static.spaice.ca/share/cuppowood/Colors/Royal+Blue+SM.jpg
Majestic HG,Image url,https://s3.us-east-2.amazonaws.com/static.spaice.ca/share/cuppowood/Colors/Majestic+HG.jpg
Majestic SM,Image url,https://s3.us-east-2.amazonaws.com/static.spaice.ca/share/cuppowood/Colors/Majestic+SM.jpg
Ida 01,Image url,https://s3.us-east-2.amazonaws.com/static.spaice.ca/share/cuppowood/Colors/Ida+01.jpg
Ida 03,Image url,https://s3.us-east-2.amazonaws.com/static.spaice.ca/share/cuppowood/Colors/Ida+03.jpg
Roble Muratti 01,Image url,https://s3.us-east-2.amazonaws.com/static.spaice.ca/share/cuppowood/Colors/Roble+Muratti+01.jpg
Roble Muratti 04,Image url,https://s3.us-east-2.amazonaws.com/static.spaice.ca/share/cuppowood/Colors/Roble+Muratti+04.jpg
Factory 01,Image url,https://s3.us-east-2.amazonaws.com/static.spaice.ca/share/cuppowood/Colors/Factory+01.jpg
Factory 02,Image url,https://s3.us-east-2.amazonaws.com/static.spaice.ca/share/cuppowood/Colors/Factory+02.jpg
Como Ash 01,Image url,https://s3.us-east-2.amazonaws.com/static.spaice.ca/share/cuppowood/Colors/Como+Ash+01.jpg
Como Ash 03,Image url,https://s3.us-east-2.amazonaws.com/static.spaice.ca/share/cuppowood/Colors/Como+Ash+03.jpg
Gris Nube Zenit,Image url,https://s3.us-east-2.amazonaws.com/static.spaice.ca/share/cuppowood/Colors/Gris+Nube+Zenit.jpg
Gris Nube HG,Image url,https://s3.us-east-2.amazonaws.com/static.spaice.ca/share/cuppowood/Colors/Gris+Nube+HG.jpg
Olmo HG,Image url,https://s3.us-east-2.amazonaws.com/static.spaice.ca/share/cuppowood/Colors/Olmo+HG.jpg
